Country,Count
Bolivia,38
India,22
Zimbabwe,16
South Africa,11
Norway,8
Switzerland,4
Singapore,4
Belgium,3
Bosnia and Herzegovina,3
Burundi,3
Comoros,3
Ecuador,3
Equatorial Guinea,3
Fiji,3
Luxembourg,3
New Zealand,3
Papua New Guinea,3
Rwanda,3
Seychelles,3
Vanuatu,3
Afghanistan,2
Canada,2
Finland,2
Palau,2
Philippines,2
Sri Lanka,2
Austria,1
Brazil,1
Denmark,1
Micronesia,1
Italy,1
Netherlands,1
Peru,1
Russia,1
USA,1
China,1
Poland,1
Slovenia,1
Spain,1
Argentina,0
Mexico,0
United Kingdom,0
